omega,sqrt_omega,depth_step,delta,epsilon_sqrt_omega,E_full_two_branch_rel_true_weighted_mean_active,E_full_two_branch_rel_true_median_active,E_full_two_branch_rel_true_max_active,E_full_two_branch_rel_hom_weighted_mean_active,E_linear_wave_rel_true_weighted_mean_active,E_plus_only_rel_true_historical_weighted_mean_active,valid_power_fraction_weighted_mean_active,source_json,notes
1.0,1.0,1,0.013333333656191826,0.013333333656191826,0.0017920341521508092,0.0015461802998593922,0.015709273034074708,0.001787572022244927,0.001729756178709944,0.687878797733346,0.9999999999918198,s7_boundary_symbol_summary_omega001.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
1.0,1.0,2,0.02666666731238365,0.02666666731238365,0.005206762286022324,0.00468168266705042,0.047450303828765306,0.005173339321582835,0.005013761638745747,0.695931110238295,0.9999999999918198,s7_boundary_symbol_summary_omega001.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
1.0,1.0,3,0.04000000096857548,0.04000000096857548,0.010401721803569509,0.009480801407725725,0.09727262222646343,0.010280699469706762,0.010026767774115876,0.7038247111405017,0.9999999999918198,s7_boundary_symbol_summary_omega001.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
1.0,1.0,4,0.0533333346247673,0.0533333346247673,0.017419478534853476,0.01617840587918456,0.16832111897449784,0.01710402480185727,0.016811041807755965,0.7115397597963412,0.9999999999918198,s7_boundary_symbol_summary_omega001.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
1.0,1.0,8,0.1066666692495346,0.1066666692495346,0.06437440098128834,0.05868329351259731,0.7562387067912486,0.060778753541797376,0.062233505026834536,0.7405592709448919,0.9999999999918198,s7_boundary_symbol_summary_omega001.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
1.0,1.0,16,0.2133333384990692,0.2133333384990692,0.24999601395386012,0.20395761889398684,1.633250772892993,0.21236619351113944,0.24066069437316173,0.7932473903364795,0.9999999999918198,s7_boundary_symbol_summary_omega001.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
1.0,1.0,32,0.4266666769981384,0.4266666769981384,0.6803593057552725,0.5715206921012271,1.8541803888988062,0.6001907671929488,0.6405146166598308,0.8326654193395286,0.9999999999918198,s7_boundary_symbol_summary_omega001.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
1.0,1.0,64,0.8533333539962769,0.8533333539962769,1.4726429300702872,1.3907627808515,2.5207655242711247,0.9720493758708867,1.1480980067531643,0.8877873293317579,0.9999999999918198,s7_boundary_symbol_summary_omega001.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
50.0,7.0710678118654755,1,0.013333333656191826,0.09428090644116063,0.014827846578240543,0.014692247454070486,0.0283360318570446,0.014906213673840173,0.030105470128674792,0.3393128011610665,0.9999999999949595,s7_boundary_symbol_summary_omega050.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
50.0,7.0710678118654755,2,0.02666666731238365,0.18856181288232127,0.03639771128922855,0.035949050031972254,0.06887719285192417,0.0365413291044567,0.09423680616485196,0.39860054022684044,0.9999999999949595,s7_boundary_symbol_summary_omega050.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
50.0,7.0710678118654755,3,0.04000000096857548,0.28284271932348193,0.07090530853213634,0.06984640128900364,0.12986819461962582,0.07064941092996604,0.19406200734564785,0.46180159570706164,0.9999999999949595,s7_boundary_symbol_summary_omega050.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
50.0,7.0710678118654755,4,0.0533333346247673,0.37712362576464253,0.12026580935078598,0.11836682461515026,0.21240758587352804,0.11832194752195715,0.32795224311380633,0.5279424566884324,0.9999999999949595,s7_boundary_symbol_summary_omega050.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
50.0,7.0710678118654755,8,0.1066666692495346,0.7542472515292851,0.4258428303231446,0.4229756839780101,1.0968835710930578,0.387966527444437,1.0371747539541887,0.769390974381316,0.9999999999949595,s7_boundary_symbol_summary_omega050.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
50.0,7.0710678118654755,16,0.2133333384990692,1.5084945030585701,328.8701223635027,1175.2252939849825,38128.64481473754,0.8495566692049809,1.907443854916625,0.9280930581533646,0.9999999999949595,s7_boundary_symbol_summary_omega050.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
50.0,7.0710678118654755,32,0.4266666769981384,3.0169890061171403,240404348493.771,840787296310.2948,30192138067798.105,0.9997625344375023,2.9233669139765635,0.9649590012343906,0.9999999999949595,s7_boundary_symbol_summary_omega050.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
50.0,7.0710678118654755,64,0.8533333539962769,6.0339780122342805,209692318000475.25,606291212183030.6,6997551155020337.0,1.0,8.402817156055185,0.9844840777786448,0.9999999999904748,s7_boundary_symbol_summary_omega050.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
100.0,10.0,1,0.013333333656191826,0.13333333656191826,0.029991214286859393,0.02986878861553008,0.04356118398589616,0.030350513620250815,0.06464311478361386,0.27673233008198606,0.9999999999963525,s7_boundary_symbol_summary_omega100.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
100.0,10.0,2,0.02666666731238365,0.2666666731238365,0.0732353874306647,0.07288620761993556,0.10704765164325482,0.07374004616867895,0.21039788082773273,0.35583579040631924,0.9999999999963525,s7_boundary_symbol_summary_omega100.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
100.0,10.0,3,0.04000000096857548,0.4000000096857548,0.1457799146632488,0.14512657681390775,0.2036361784768073,0.1436559228060064,0.4490067979892819,0.4524893988961906,0.9999999999963525,s7_boundary_symbol_summary_omega100.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
100.0,10.0,4,0.0533333346247673,0.533333346247673,0.2530113610991019,0.2519965699352311,0.32830950518084484,0.241304495571945,0.775974607832673,0.5660963653469611,0.9999999999963525,s7_boundary_symbol_summary_omega100.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
100.0,10.0,8,0.1066666692495346,1.066666692495346,3.6711023801814386,8.100644596065846,154.78455730914575,0.8117244796893393,2.0596095350332346,0.92069605311652,0.9999999999963525,s7_boundary_symbol_summary_omega100.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
100.0,10.0,16,0.2133333384990692,2.133333384990692,3998339.236243221,9981300.405397756,169209146.65931687,0.98492231027374,2.6192785975880613,0.9803172592151791,0.9999999999963525,s7_boundary_symbol_summary_omega100.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
100.0,10.0,32,0.4266666769981384,4.266666769981384,885454392581199.0,2270260861634209.0,1.2480105954238691e+17,0.9999999999599668,3.7268500068596198,0.9841433464250958,0.9999999999913126,s7_boundary_symbol_summary_omega100.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
100.0,10.0,64,0.8533333539962769,8.533333539962769,238988117347727.38,355604789566707.5,2597889435817315.0,1.0,12.529438537908288,0.9906461340123005,0.9999999987309451,s7_boundary_symbol_summary_omega100.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
200.0,14.142135623730951,1,0.013333333656191826,0.18856181288232127,0.05440100346772611,0.05431960332956753,0.08530537780976587,0.055307885725188646,0.11861405086037859,0.2239205690453749,0.9999999999964563,s7_boundary_symbol_summary_omega200.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
200.0,14.142135623730951,2,0.02666666731238365,0.37712362576464253,0.14548904174473368,0.14516389191267437,0.2305779618688089,0.14400564070476182,0.4086827798017175,0.3138085832094177,0.9999999999964563,s7_boundary_symbol_summary_omega200.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
200.0,14.142135623730951,3,0.04000000096857548,0.5656854386469639,0.32110166209981517,0.3203023754401069,0.4581672148338928,0.2952260329330017,0.9329270233910678,0.45853797622666553,0.9999999999964563,s7_boundary_symbol_summary_omega200.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
200.0,14.142135623730951,4,0.0533333346247673,0.7542472515292851,0.6199559339269705,0.6385969990594608,2.6309794730195515,0.512560852400941,1.6882927002847976,0.6732851213156005,0.9999999999964563,s7_boundary_symbol_summary_omega200.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
200.0,14.142135623730951,8,0.1066666692495346,1.5084945030585701,2390.7642158622007,4484.994974121082,124790.3267070911,1.0002486967319042,2.9999719776112124,1.0542883952480755,0.9999999999964563,s7_boundary_symbol_summary_omega200.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
200.0,14.142135623730951,16,0.2133333384990692,3.0169890061171403,1203432567854.0784,2284772468621.749,96411307518800.44,0.9999999999999899,2.8915826377627267,1.0032936335982976,0.9999999999964563,s7_boundary_symbol_summary_omega200.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
200.0,14.142135623730951,32,0.4266666769981384,6.0339780122342805,767303609849658.8,1417394036281879.0,9.373705151852422e+16,1.0,4.026992662191967,0.9939329998079672,0.9999999999322609,s7_boundary_symbol_summary_omega200.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
200.0,14.142135623730951,64,0.8533333539962769,12.067956024468561,2.013172593383735e+16,1.1023829067461268e+16,2.3885359296816173e+17,1.0,16.21872028162572,0.9946687571261573,0.9999406992637468,s7_boundary_symbol_summary_omega200.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
300.0,17.320508075688775,1,0.013333333333333334,0.23094010767585035,0.07601193642988498,0.07597431254670951,0.09483116314668208,0.07719930156976977,0.1627131973446484,0.2237834562625181,0.9999999999958625,s7_boundary_symbol_summary_omega300.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
300.0,17.320508075688775,2,0.02666666666666667,0.4618802153517007,0.22285513698094075,0.2226531141016306,0.31768753813857825,0.21297506867551613,0.5818681263895661,0.31349518832868745,0.9999999999958625,s7_boundary_symbol_summary_omega300.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
300.0,17.320508075688775,3,0.04,0.692820323027551,0.5522696870626888,0.5617893256764606,2.97316394450576,0.45067055848977977,1.4039919986530873,0.4952775300731793,0.9999999999958625,s7_boundary_symbol_summary_omega300.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
300.0,17.320508075688775,4,0.05333333333333334,0.9237604307034014,2.9433110002541523,4.242641595771731,74.41511363850954,0.8968903194896175,2.6178076644436925,0.8124492166516881,0.9999999999958625,s7_boundary_symbol_summary_omega300.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
300.0,17.320508075688775,8,0.10666666666666667,1.8475208614068028,426895.77625632024,654579.8140061403,23351894.575277936,1.0000000000127307,3.26445469310099,1.0795246914753984,0.9999999999958625,s7_boundary_symbol_summary_omega300.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
300.0,17.320508075688775,16,0.21333333333333335,3.6950417228136057,2844549416452832.0,4474774036937949.0,1.4608030861523856e+17,1.0,2.9279835962402196,1.007425295041886,0.9999999999864381,s7_boundary_symbol_summary_omega300.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
300.0,17.320508075688775,32,0.4266666666666667,7.390083445627211,608544619164067.4,949240569433751.2,1.3549548949236208e+16,1.0,4.092315293400239,0.9968079341184929,0.9999999998155409,s7_boundary_symbol_summary_omega300.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
300.0,17.320508075688775,64,0.8533333333333334,14.780166891254423,3.148417867476782e+17,1.634885106872861e+17,3.233678768508816e+18,1.0,17.984143403938866,0.9965064884207829,0.9983474556308589,s7_boundary_symbol_summary_omega300.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
